first_name,last_name,bbr_url,image_url
Josh,Hart,https://www.basketball-reference.com/players/h/hartjo01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hartjo01.jpg
Isaiah,Hartenstein,https://www.basketball-reference.com/players/h/harteis01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/harteis01.jpg
Sam,Hauser,https://www.basketball-reference.com/players/h/hausesa01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hausesa01.jpg
Jordan,Hawkins,https://www.basketball-reference.com/players/h/hawkijo01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hawkijo01.jpg
Jaxson,Hayes,https://www.basketball-reference.com/players/h/hayesja02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hayesja02.jpg
Killian,Hayes,https://www.basketball-reference.com/players/h/hayeski01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hayeski01.jpg
Scoot,Henderson,https://www.basketball-reference.com/players/h/hendesc01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hendesc01.jpg
Taylor,Hendricks,https://www.basketball-reference.com/players/h/hendrta01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hendrta01.jpg
Chucky,Hepburn,https://www.basketball-reference.com/players/h/hepbuch01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hepbuch01.jpg
Tyler,Herro,https://www.basketball-reference.com/players/h/herroty01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/herroty01.jpg
Buddy,Hield,https://www.basketball-reference.com/players/h/hieldbu01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hieldbu01.jpg
Haywood,Highsmith,https://www.basketball-reference.com/players/h/highsha01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/highsha01.jpg
